Country,CountryCode,Year,GDP_growth,Tax_revenue_percent_GDP,Poverty_rate,Unemployment_rate,FDI_percent_GDP,Current_account_balance_percent_GDP,Urbanization_rate,Population_total,Population_growth_rate,Agriculture_value_added_percent_GDP,Industry_value_added_percent_GDP,Services_value_added_percent_GDP,Gini_index,Gross_capital_formation_percent_GDP,Trade_percent_GDP,R&D_expenditure_percent_GDP,School_enrollment_secondary,School_enrollment_tertiary,Adult_literacy_rate,Education_expenditure_percent_GDP,Pupil_teacher_ratio_primary,Access_to_electricity_percent,Internet_users_per_100,Mobile_subscriptions_per_100,Logistics_Performance_Index,Life_expectancy,Health_expenditure_percent_GDP,Under5_mortality_rate,Gov_Effectiveness,Control_Corruption,Reg_Quality,Rule_of_Law,Political_Stability,Voice_Accountability,Exports_percent_GDP,Patent_applications_residents
Lithuania,LT,2014,3.7725437958099,16.0335026552639,1.7,10.698,0.739699359398686,3.54699194706827,67.108,2937253,-0.813668566231451,3.4401608409572,27.726441177948,58.7478006463531,37.7,20.3004773754029,143.290115780694,1.03011000156403,102.44751739502,68.8998870849609,,4.48657989501953,12.80832,100.0,72.1,145.494,3.178416,74.5170731707317,6.19332647,5.1,0.977036237716675,0.553396463394165,1.18876838684082,0.937465846538544,0.742136418819427,0.961604714393616,72.6102123944686,123.0
Lithuania,LT,2015,2.83280643343234,16.7577252933798,1.0,9.12,2.49622116332616,-2.51745557937896,67.23,2911109,-0.89406825888146,3.43671864804715,26.9636978611038,59.2019719495734,37.4,22.5552269115381,138.195575009601,1.04340994358063,102.153343200684,67.7426528930664,,4.2271900177002,12.86014,100.0,71.4,143.991,,74.3219512195122,6.49043989,5.0,1.15046727657318,0.582566559314728,1.26380932331085,0.97820919752121,0.749750256538391,0.973996102809906,68.6043807818409,101.0
Lithuania,LT,2016,2.67192215053329,17.0998350982682,1.5,7.862,2.7403147410033,-1.01460897973493,67.366,2877325,-1.16730651563847,3.12061896056681,25.9974602207029,60.4983280052475,38.4,20.2876398712687,134.690449650877,0.842410027980804,101.81990814209,67.7418518066406,,4.004310131073,13.22845,100.0,74.4,146.55,3.631688,74.6707317073171,6.63746262,4.9,1.03285944461823,0.676383554935455,1.12458479404449,0.996741414070129,0.8147212266922,1.00021350383759,67.7094248902699,95.0
Lithuania,LT,2017,4.61224310312809,16.7642158990642,1.2,7.073,2.89745572307538,1.08697261761581,67.516,2842639,-1.21281970207312,3.54933633712632,25.720457681502,60.2020468532002,37.3,20.480115803004,144.918393101325,0.896260023117065,102.791778564453,68.3863372802734,,3.81220006942749,13.51703,100.0,77.6,154.148,,75.4804878048781,6.4444623,4.6,0.929402828216553,0.518651902675629,1.14623475074768,0.961514294147491,0.765565991401672,0.986630260944366,73.6063406090345,81.0
Lithuania,LT,2018,4.91836780106811,16.7524651283353,1.0,6.147,2.39550085067311,0.309996924920131,67.679,2819200,-0.82796893028899,2.88685726647675,25.5788787201366,61.178353815629,35.7,22.4066386338902,147.202132525221,0.936619997024536,103.014022827148,69.7188034057617,,3.89289999008179,,100.0,79.7,134.334,3.02,75.6804878048781,6.53038597,4.2,1.0314474105835,0.466041952371597,1.09371483325958,0.923098206520081,0.729236841201782,0.901560366153717,74.5295191317116,81.0
Lithuania,LT,2019,4.67735183530451,20.0889400531483,0.6,6.255,6.23035300556358,3.73752991159912,67.855,2811089,-0.288120400605037,3.12404744403716,25.2564149405008,61.179068325455,35.3,19.5803862338798,148.374996011818,0.992659986019135,103.88060760498,70.1848678588867,,3.9640998840332,,100.0,81.6,132.529,,76.2829268292683,6.98445415,3.9,1.00766611099243,0.666305541992188,1.14662408828735,0.985989809036255,0.770623564720154,0.994787633419037,76.8187229886379,90.0
Lithuania,LT,2020,0.0428158336981426,20.5030171627523,0.5,8.487,7.94344900363669,7.22470104088844,68.046,2810369,-0.0256161303326233,3.53241993914326,24.7876900738526,61.0170094436429,36.0,16.5198227850463,135.796565563519,1.13260996341705,105.987487792969,69.1454772949219,,4.50859022140503,,100.0,83.1,131.341,,75.0292682926829,7.47439718,3.7,1.0149097442627,0.778560698032379,1.08017456531525,0.94848245382309,0.92147696018219,1.00418090820312,72.4346855034597,95.0
Lithuania,LT,2021,6.38001606179873,21.2744476140313,0.3,7.112,3.74064234382321,1.46940668521304,68.249,2808380,-0.070798680741267,3.39582123831296,24.8587509219797,60.8775666305138,36.7,21.8350067084027,154.80672767597,1.10435998439789,108.505813598633,70.6638793945312,99.8300018310547,4.25490999221802,,100.0,86.9,133.357,,74.0365853658537,7.75970221,3.6,1.01744949817657,0.824572265148163,1.2701860666275,1.07464647293091,0.809846818447113,1.03033602237701,79.6299385130419,81.0
Lithuania,LT,2022,2.53752574011534,21.2820773125213,0.8,5.955,3.40588108209325,-6.08497389220301,68.465,2831639,0.824789131191284,3.9279382912554,25.6398695886222,61.0306838894474,36.6,28.0753061012226,175.651612151093,1.05318999290466,106.918357849121,76.9154586791992,,,,100.0,87.7,135.834,3.4,75.6439024390244,7.24335003,3.5,0.993961572647095,0.746974110603333,1.29888129234314,1.06033229827881,0.653032541275024,1.06778585910797,86.7798492943433,
Lithuania,LT,2023,0.342262716277261,21.418435814263,,6.841,4.80150438624708,1.10087710830163,68.694,2871585,1.40084461829591,2.71539099968174,24.2370942924201,63.0899070350123,,21.9341715222081,149.041909014608,,,,,,,100.0,88.5,137.204,,76.9878048780488,7.29381466,3.4,1.05012118816376,0.781545519828796,1.33804214000702,1.26719617843628,0.742111504077911,1.07111299037933,76.4728581033646,
